#, ,R,y,a,n, ,e,t, ,a,l, ,1,9,9,6,",", ,T,a,b,l,e, ,3
#Fe/H,Teff,eTeff,A(Li),eA(Li),log(Teff),elog(Teff)
-2.4,5740.0,55.0,2.04,0.05,3.7589118923979736,0.004161358276076454
-2.6,5840.0,38.0,2.06,0.03,3.7664128471123997,0.0028258887521102
-2.3,5990.0,44.0,2.08,0.05,3.7774268223893115,0.00319014310580018
-2.9,6340.0,52.0,2.21,0.05,3.8020892578817325,0.0035620367600897626
-1.8,5780.0,34.0,1.95,0.1,3.761927838420529,0.0025546734229603047
-1.2,6030.0,44.0,2.26,0.09,3.780317312140151,0.0031689812941530808
-2.3,6080.0,52.0,2.26,0.05,3.783903579272735,0.0037143607004883374
-2.9,6260.0,40.0,2.1,0.04,3.7965743332104296,0.002775044612800331
-2.0,5980.0,38.0,2.03,0.04,3.776701183988411,0.0027597308214587905
-2.7,6290.0,40.0,2.22,0.05,3.798650645445269,0.002761809105903032
-2.3,6080.0,38.0,2.15,0.05,3.783903579272735,0.0027143405118953234
-1.6,5960.0,36.0,2.02,0.05,3.7752462597402365,0.0026232552598182994
-2.6,6300.0,34.0,2.3,0.04,3.7993405494535817,0.002343811489636597
-2.7,6020.0,44.0,2.16,0.04,3.7795964912578244,0.0031742453826815744
-2.8,6090.0,51.0,2.01,0.07,3.784617292632875,0.003636948863229202
-2.4,6150.0,44.0,2.12,0.04,3.788875115775417,0.003107147512803753
-2.2,6070.0,32.0,2.14,0.04,3.7831886910752575,0.002289526098995726
-1.8,5720.0,36.0,2.13,0.07,3.7573960287930244,0.00273332191407641
-2.3,6220.0,38.0,2.16,0.04,3.7937903846908188,0.002653246030920188
-2.6,6050.0,51.0,2.1,0.05,3.781755374652469,0.0036609948061265855
-2.2,6120.0,50.0,2.14,0.05,3.7867514221455614,0.0035481575318893122
-1.5,5880.0,36.0,2.01,0.07,3.7693773260761385,0.002658945807570929
-2.1,5850.0,59.0,2.25,0.06,3.7671558660821804,0.004380064005519975
-2.0,6050.0,49.0,2.16,0.05,3.781755374652469,0.0035174263823569154
-2.2,6170.0,32.0,2.28,0.04,3.7902851640332416,0.0022524187067915814
-1.6,6460.0,82.0,2.42,0.11,3.8102325179950842,0.005512716333756447
-2.4,6200.0,34.0,2.19,0.03,3.792391689498254,0.0023816149007597678
-2.2,5940.0,52.0,2.17,0.06,3.7737864449811935,0.003801904555382002
-2.5,6040.0,34.0,2.11,0.03,3.7810369386211318,0.002444704037203735
-3.1,6180.0,34.0,2.12,0.08,3.790988475088816,0.002389322392347987
-3.7,6060.0,54.0,1.99,0.06,3.782472624166286,0.0038699508288408575
-2.0,5660.0,36.0,2.06,0.07,3.7528164311882715,0.002762297058041884
-3.3,6260.0,54.0,1.89,0.06,3.7965743332104296,0.0037463102272804467
-2.7,6220.0,73.0,2.24,0.07,3.7937903846908188,0.005097025269925624
-2.9,6130.0,82.0,2.13,0.08,3.787460474518415,0.005809485728558996
-2.6,5910.0,54.0,1.98,0.07,3.7715874808812555,0.003968172931095701
-2.6,6130.0,54.0,1.9,0.09,3.787460474518415,0.0038257588944168998
-2.7,6300.0,34.0,2.2,0.05,3.7993405494535817,0.002343811489636597
-2.8,6260.0,82.0,2.22,0.09,3.7965743332104296,0.005688841456240678
-2.5,6150.0,59.0,2.21,0.07,3.788875115775417,0.004166402346714123
-2.5,6150.0,59.0,1.98,0.08,3.788875115775417,0.004166402346714123
-3.2,6380.0,73.0,2.16,0.09,3.8048206787211623,0.004969200184786423
-3.4,6030.0,54.0,2.03,0.05,3.780317312140151,0.0038892043155515084
-2.5,6040.0,112.0,1.97,0.11,3.7810369386211318,0.008053142710788774
-2.5,5910.0,82.0,2.13,0.08,3.7715874808812555,0.0060257440805527316
-3.1,5940.0,50.0,1.82,0.1,3.7737864449811935,0.003655677457098079
-2.9,6400.0,62.0,2.15,0.1,3.806179973983887,0.004207227793437752
-3.3,6280.0,180.0,2.01,0.18,3.797959643737196,0.012447931009965815
