# Ryan et al 1996, Table 3
#Fe/H  Teff  eTeff  A(Li)  eA(Li)
-2.4 5740  55 2.04 0.05
-2.6 5840  38 2.06 0.03
-2.3 5990  44 2.08 0.05
-2.9 6340  52 2.21 0.05
-1.8 5780  34 1.95 0.10
-1.2 6030  44 2.26 0.09
-2.3 6080  52 2.26 0.05
-2.9 6260  40 2.10 0.04
-2.0 5980  38 2.03 0.04
-2.7 6290  40 2.22 0.05
-2.3 6080  38 2.15 0.05
-1.6 5960  36 2.02 0.05
-2.6 6300  34 2.30 0.04
-2.7 6020  44 2.16 0.04
-2.8 6090  51 2.01 0.07
-2.4 6150  44 2.12 0.04
-2.2 6070  32 2.14 0.04
-1.8 5720  36 2.13 0.07
-2.3 6220  38 2.16 0.04
-2.6 6050  51 2.10 0.05
-2.2 6120  50 2.14 0.05
-1.5 5880  36 2.01 0.07
-2.1 5850  59 2.25 0.06
-2.0 6050  49 2.16 0.05
-2.2 6170  32 2.28 0.04
-1.6 6460  82 2.42 0.11
-2.4 6200  34 2.19 0.03 
-2.2 5940  52 2.17 0.06
-2.5 6040  34 2.11 0.03
-3.1 6180  34 2.12 0.08
-3.7 6060  54 1.99 0.06
-2.0 5660  36 2.06 0.07
-3.3 6260  54 1.89 0.06
-2.7 6220  73 2.24 0.07
-2.9 6130  82 2.13 0.08
-2.6 5910  54 1.98 0.07
-2.6 6130  54 1.90 0.09
-2.7 6300  34 2.20 0.05
-2.8 6260  82 2.22 0.09
-2.5 6150  59 2.21 0.07
-2.5 6150  59 1.98 0.08
-3.2 6380  73 2.16 0.09
-3.4 6030  54 2.03 0.05
-2.5 6040 112 1.97 0.11
-2.5 5910  82 2.13 0.08
-3.1 5940  50 1.82 0.10
-2.9 6400  62 2.15 0.10
-3.3 6280 180 2.01 0.18
-3.3 6340  79 2.08 0.12
-3.3 6180  50 1.97 0.10
-3.1 6217 100 2.19 0.11
-2.8 6130  92 2.04 0.09
-2.4 5930  36 2.07 0.05
-1.3 5912  40 2.14 0.04
-2.1 6210 103 2.09 0.11
-2.6 6230 140 2.40 0.11
-1.6 5960  49 2.09 0.05
-2.4 5640  40 1.83 0.05
-2.6 5970  32 2.20 0.04
-3.5 6290  44 2.29 0.05
-3.0 6290  44 2.01 0.04
-2.7 5690  36 1.89 0.05
-2.4 5950  52 1.98 0.07
-2.7 6010  40 2.14 0.05
-2.2 5880  49 2.24 0.04
-2.2 5710  32 2.03 0.05
-2.8 5600  32 1.89 0.04
-2.5 6240  40 2.24 0.06
-2.7 5650  44 1.86 0.05
-2.8 5910 133 2.07 0.12
-2.5 6040  50 2.06 0.07
-2.7 5960  70 1.84 0.08
-2.7 6000  56 2.00 0.06
-2.7 6040  50 2.06 0.05
-2.9 6180  69 2.21 0.07
-3.0 5770  32 1.96 0.04
-2.5 6070  32 2.08 0.06
-2.6 5760  50 1.96 0.06
-3.5 5910  36 2.02 0.07
-1.2 5930  36 2.29 0.06
-2.2 6020  38 2.12 0.04
-2.1 5850  36 2.08 0.03
-2.2 5780  61 2.20 0.05
-1.8 6060  36 2.10 0.06
-2.1 6280  38 2.23 0.04
-1.7 5930  36 2.16 0.03
-1.8 5990  36 2.16 0.03
-2.4 5880  36 2.05 0.05
-1.2 5710  36 1.90 0.05
-1.6 5900  36 2.03 0.03
-1.4 5800  36 1.87 0.03
-2.0 6160  38 2.25 0.05
-1.4 5870  36 2.18 0.03
